/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
/usr/lib/python2.7/dist-packages/scipy/lib/_util.py:35: DeprecationWarning: Module scipy.linalg.blas.fblas is deprecated, use scipy.linalg.blas instead
  DeprecationWarning)
Using gpu device 0: GRID K520
loading data
Training for Protists
epoch 96/200, minibatch 2/2, validation error nan %
epoch 97/200, minibatch 2/2, validation error nan %
epoch 98/200, minibatch 2/2, validation error nan %
epoch 99/200, minibatch 2/2, validation error nan %
epoch 100/200, minibatch 2/2, validation error nan %
epoch 101/200, minibatch 2/2, validation error nan %
epoch 102/200, minibatch 2/2, validation error nan %
epoch 103/200, minibatch 2/2, validation error nan %
epoch 104/200, minibatch 2/2, validation error nan %
epoch 105/200, minibatch 2/2, validation error nan %
epoch 106/200, minibatch 2/2, validation error nan %
epoch 107/200, minibatch 2/2, validation error nan %
epoch 108/200, minibatch 2/2, validation error nan %
epoch 109/200, minibatch 2/2, validation error nan %
epoch 110/200, minibatch 2/2, validation error nan %
epoch 111/200, minibatch 2/2, validation error nan %
epoch 112/200, minibatch 2/2, validation error nan %
epoch 113/200, minibatch 2/2, validation error nan %
epoch 114/200, minibatch 2/2, validation error nan %
epoch 115/200, minibatch 2/2, validation error nan %
epoch 116/200, minibatch 2/2, validation error nan %
epoch 117/200, minibatch 2/2, validation error nan %
epoch 118/200, minibatch 2/2, validation error nan %
epoch 119/200, minibatch 2/2, validation error nan %
epoch 120/200, minibatch 2/2, validation error nan %
epoch 121/200, minibatch 2/2, validation error nan %
epoch 122/200, minibatch 2/2, validation error nan %
epoch 123/200, minibatch 2/2, validation error nan %
epoch 124/200, minibatch 2/2, validation error nan %
epoch 125/200, minibatch 2/2, validation error nan %
